respondent_id,city,neighbourhood,migrant_status,age_group,country_of_origin,household_size_group,trust_police,trust_councillor,trust_mayor,trust_traditional_leaders,trust_local_people,trust_country_people_local,trust_neighbours,trust_service_providers,trust_religious_leaders,trust_other_religious_leaders,trust_business_people,trust_judges,belong_here,close_to_neighbours,neighbourhood_cares,future_in_neighbourhood,feel_supported,perceived_outsider,discrimination_gender,discrimination_religion,discrimination_ethnicity,discrimination_origin,discrimination_economic_status,discrimination_political,stay_or_go,plans_to_move_2_6_months,medium_term_goal,long_term_goal,moving_good_way_to_get_ahead
resp_0001,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0002,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0003,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Never,Never,Never,Never,Never,Once or twice,Move within country,No,Move within home country,Move within home country,No
resp_0004,Nairobi,Kayole,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0005,Nairobi,Kayole,Born outside country,25–34,Kenya,1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,,,,,
resp_0006,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0007,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Once or twice,Once or twice,,,,,
resp_0008,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Yes,No,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
resp_0009,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Once or twice,,,,,
resp_0010,Nairobi,Kawangware,Born outside country,,Kenya,2–3,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Once or twice,Never,Several times,Never,,,,,
resp_0011,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Not applicable,Never,Never,Never,,,,,
resp_0012,Nairobi,Kawangware,Born in country,25–34,Tanzania,2–3,Yes,No,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within home country,Yes
resp_0013,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,,,,,,,,,,
resp_0014,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Never,Move within country,No,Don't know,Don't know,Yes
resp_0015,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move within city,No
resp_0016,Nairobi,Kawangware,Born in country,25–34,Uganda,2–3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Don't know,Yes
resp_0017,Nairobi,Kawangware,Born in country,25–34,South Sudan,4–5,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,,,,,,,,
resp_0018,Nairobi,Kawangware,Born outside country,18–24,Kenya,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0019,Nairobi,Kawangware,Born outside country,18–24,Kenya,2–3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0020,Nairobi,Kawangware,Born outside country,18–24,Kenya,2–3,Yes,Yes,Don't know,Yes,Mixed,Yes,Yes,Yes,Yes,Don't know,Mixed,Yes,Yes,Yes,Yes,Don't know,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Don't know,Don't know,Don't know
resp_0021,Nairobi,Kawangware,Born outside country,35–44,Kenya,1,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,No,No,Mixed,Mixed,No,Yes,Yes,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Once or twice,Not applicable,Leave country,No,Stay here,Move within city,Yes
resp_0022,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Don't know,Yes,No,Never,Once or twice,Once or twice,Once or twice,Once or twice,Not applicable,Leave country,No,Stay here,Move to third country,Yes
resp_0023,Nairobi,Kawangware,Born outside country,35–44,Kenya,4–5,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move within city,Yes
resp_0024,Nairobi,Kawangware,Born in country,25–34,Burundi,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never,Several times,Several times,Several times,Never,Never,Leave country,No,Stay here,Move within city,Yes
resp_0025,Nairobi,Kawangware,Born outside country,18–24,Kenya,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Move within city,Yes
resp_0026,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Mixed,Mixed,Don't know,Yes,No,Mixed,No,Yes,Yes,Mixed,Mixed,Mixed,No,No,Yes,No,Yes,Yes,Once or twice,Never,Never,Never,Once or twice,Not applicable,Move within country,No,Move within city,Return to origin community,Yes
resp_0027,Accra,Madina,Born outside country,35–44,Ghana,1,No,Yes,No,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,Mixed,Mixed,Yes,Yes,No,Yes,No,Yes,Never,Never,Never,Never,Once or twice,Never,Stay in neighbourhood,No,Stay here,Move to third country,Yes
resp_0028,Accra,Madina,Born outside country,55+,Ghana,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Several times,Several times,Once or twice,Once or twice,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0029,Accra,Madina,Born outside country,55+,Ghana,4–5,No,No,No,Mixed,No,No,No,Mixed,Yes,Mixed,Mixed,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0030,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Don't know
resp_0031,Accra,Madina,Born outside country,18–24,Ghana,1,No,No,No,No,Mixed,Yes,No,Mixed,No,Yes,Mixed,No,Yes,No,No,No,No,Yes,Once or twice,Once or twice,Several times,Several times,Several times,Many times,Move within country,Yes,Move within home country,Move within home country,Yes
resp_0032,Accra,Madina,Born outside country,55+,Ghana,4–5,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,No,Yes,Yes,Yes,Yes,Yes,No,Never,Once or twice,Several times,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0033,Accra,Madina,Born in country,35–44,Nigeria,1,Yes,Yes,Mixed,Yes,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Several times,Move within country,Yes,Move within city,Move to third country,Yes
resp_0034,Accra,Madina,Born outside country,,Ghana,4–5,No,No,No,No,No,No,Mixed,Mixed,No,No,No,Mixed,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Not applicable,Several times,Once or twice,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0035,Accra,Madina,Born outside country,35–44,Ghana,1,Mixed,Yes,Mixed,Mixed,Yes,Yes,Yes,Yes,Don't know,Mixed,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Many times,Stay in neighbourhood,No,Stay here,Move within city,Yes
resp_0036,Accra,Madina,Born in country,35–44,Togo,2–3,No,No,No,Mixed,Yes,Yes,Yes,Mixed,Yes,Mixed,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,Yes,Move within city,Move within city,Yes
resp_0037,Nairobi,Kawangware,Born in country,35–44,Other,2–3,No,No,No,No,Mixed,Mixed,Mixed,Yes,Don't know,Mixed,Yes,Don't know,Yes,No,Don't know,No,No,Yes,Never,Never,Once or twice,Several times,Never,Never,Stay in neighbourhood,Don't know,Don't know,Don't know,Yes
resp_0038,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Don't know,Don't know,Don't know,Yes,Yes,Yes,Don't know,Yes,Don't know,Never,Never,Never,Never,Never,Never,Move within country,No,Move within city,Don't know,Don't know
resp_0039,Nairobi,Kawangware,Born in country,35–44,Kenya,4–5,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Once or twice,Never,Never,Several times,Once or twice,Once or twice,Stay in neighbourhood,No,Return to origin community,Return to origin community,Yes
resp_0040,Nairobi,Kawangware,Born in country,55+,Burundi,1,No,No,No,No,No,Yes,Mixed,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,No,No,Yes,Yes,Never,Not applicable,Once or twice,Several times,Once or twice,Many times,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0041,Nairobi,Kawangware,Born outside country,18–24,Kenya,2–3,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Not applicable,Never,Never,Never,Never,Never,Move within country,Yes,Move within home country,Return to origin community,Yes
resp_0042,Nairobi,Kawangware,Born in country,35–44,Tanzania,6+,Mixed,Yes,Yes,Mixed,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Stay here,Yes
resp_0043,Nairobi,Kawangware,Born outside country,55+,Kenya,6+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0044,Nairobi,Kawangware,Born in country,25–34,South Sudan,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,Don't know,Don't know,Don't know,Yes
resp_0045,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Move within country,Yes,Move within city,Move within home country,No
resp_0046,Nairobi,Kawangware,Born outside country,35–44,Kenya,1,No,No,No,No,No,No,Yes,No,No,Mixed,No,No,No,No,No,Yes,Don't know,Don't know,Many times,Once or twice,Several times,Several times,Once or twice,Never,Leave country,No,Stay here,Stay here,Yes
resp_0047,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,No,No,No,No,Mixed,Mixed,Mixed,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Don't know
resp_0048,Nairobi,Kawangware,Born outside country,35–44,Kenya,4–5,Yes,Yes,Yes,No,No,Mixed,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Move within home country,Move within home country,Yes
resp_0049,Nairobi,Kawangware,Born in country,18–24,Burundi,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Other,No
resp_0050,Nairobi,Kawangware,Born in country,25–34,Burundi,2–3,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0051,Nairobi,Kawangware,Born in country,35–44,Other,1,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Don't know,Don't know,Don't know,Yes,Never,Never,Never,Never,Never,Never,Move within country,No,Don't know,Move to third country,Yes
resp_0052,Nairobi,Kawangware,Born in country,25–34,Uganda,1,No,No,No,No,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,Don't know,Don't know,Don't know,No
resp_0053,Nairobi,Kawangware,Born outside country,25–34,Kenya,6+,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,Yes,Return to origin community,Return to origin community,Yes
resp_0054,Nairobi,Kawangware,Born in country,18–24,Uganda,2–3,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Once or twice,Once or twice,Never,Stay in neighbourhood,No,Stay here,Move within city,Yes
resp_0055,Nairobi,Kawangware,Born outside country,55+,Tanzania,2–3,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within city,Yes
resp_0056,Nairobi,Kawangware,Born outside country,45–54,Kenya,4–5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Never,Never,Never,Never,Never,Never,Move within country,No,Move within city,Move within city,Yes
resp_0057,Nairobi,Kawangware,Born outside country,18–24,Kenya,6+,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Never,Never,Never,Never,Never,Once or twice,Move within country,No,Stay here,Move within city,No
resp_0058,Nairobi,Kawangware,Born outside country,25–34,Kenya,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Return to origin community,Yes
resp_0059,Nairobi,Kawangware,Born outside country,45–54,Kenya,4–5,No,Don't know,Don't know,Yes,Don't know,Don't know,Yes,Yes,No,Don't know,Yes,Don't know,Yes,Yes,Yes,Don't know,Yes,No,Never,Never,Never,Once or twice,Never,Never,Leave country,Don't know,Don't know,Move to third country,Yes
resp_0060,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,Mixed,No,No,Mixed,Mixed,Yes,Mixed,Yes,Yes,Yes,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Other,Yes
resp_0061,Nairobi,Kawangware,Born outside country,18–24,Kenya,4–5,Mixed,No,No,Mixed,Mixed,Mixed,No,No,Don't know,Don't know,Mixed,Don't know,Yes,No,No,No,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,Yes,Stay here,Don't know,Yes
resp_0062,Nairobi,Kawangware,Born in country,45–54,Uganda,2–3,No,No,No,Yes,Yes,No,Mixed,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Never,Never,Several times,Several times,Several times,Never,Move within country,Yes,Stay here,Move to third country,Yes
resp_0063,Nairobi,Kawangware,Born in country,25–34,Uganda,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Mixed,Yes,Yes,No,Don't know,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Don't know,Don't know,Don't know
resp_0064,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,No,No,No,Yes,Yes,Mixed,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,
resp_0065,Nairobi,Kawangware,Born outside country,55+,Kenya,2–3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0066,Nairobi,Kawangware,Born in country,18–24,Democratic Republic of the Congo,1,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Never,Never,Once or twice,Once or twice,Never,Never,Leave country,No,Stay here,Move to third country,Yes
resp_0067,Nairobi,Kawangware,Born outside country,45–54,Kenya,4–5,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Return to origin community,Return to origin community,Yes
resp_0068,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Once or twice,Once or twice,Never,Never,Move within country,No,Move within city,Move within home country,Yes
resp_0069,Nairobi,Kawangware,Born in country,25–34,Burundi,2–3,Mixed,Mixed,Mixed,Yes,Mixed,Mixed,Mixed,Mixed,Yes,Mixed,Yes,Mixed,Yes,Don't know,Don't know,Yes,Yes,Yes,Once or twice,Once or twice,Not applicable,Never,Once or twice,Not applicable,Leave country,No,Stay here,Return to origin community,Don't know
resp_0070,Nairobi,Kawangware,Born outside country,55+,Kenya,6+,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Return to origin community,Return to origin community,Yes
resp_0071,Accra,Madina,Born outside country,55+,Ghana,6+,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Don't know,Stay here,Yes
resp_0072,Accra,Madina,Born outside country,45–54,Ghana,4–5,Yes,Yes,Mixed,No,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,,,,,
resp_0073,Accra,Madina,Born in country,25–34,Togo,6+,Yes,Yes,Mixed,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Not applicable,Not applicable,,,,,
resp_0074,Nairobi,Kawangware,Born outside country,45–54,Kenya,2–3,Yes,Yes,Mixed,Yes,Mixed,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0075,Nairobi,Kawangware,Born in country,35–44,Ethiopia,6+,No,No,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,No,Yes,Yes,Yes,No,Yes,No,Never,Don't know,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Move within home country,No
resp_0076,Nairobi,Kawangware,Born outside country,35–44,Kenya,6+,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Stay here,Yes
resp_0077,Nairobi,Kawangware,Born in country,18–24,Other,2–3,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,Yes,Never,Never,Once or twice,Several times,Once or twice,Never,Leave country,Don't know,Stay here,Return to origin community,Yes
resp_0078,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Don't know,No,No,No,Several times,Never,Never,Never,Several times,Never,Move within country,No,Move within city,Don't know,Yes
resp_0079,Nairobi,Kawangware,Born outside country,25–34,Kenya,2–3,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Once or twice,Once or twice,Never,Never,Move within country,No,Move within city,Move within home country,Yes
resp_0080,Nairobi,Kawangware,Born in country,25–34,Uganda,2–3,No,No,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,Yes,Stay here,Don't know,No
resp_0081,Nairobi,Kawangware,Born outside country,18–24,Kenya,1,Yes,No,No,Yes,Yes,Yes,Mixed,Yes,No,No,Yes,No,Yes,Yes,Yes,Don't know,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Don't know,Don't know,Don't know
resp_0082,Nairobi,Kawangware,Born outside country,35–44,Uganda,4–5,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0083,Nairobi,Kawangware,Born outside country,45–54,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0084,Nairobi,Kawangware,Born in country,45–54,Uganda,2–3,Yes,Yes,Yes,Yes,No,Yes,Yes,Mixed,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Once or twice,Never,Several times,Several times,Never,Never,Leave country,No,Return to origin community,Return to origin community,No
resp_0085,Nairobi,Kawangware,Born in country,25–34,Uganda,4–5,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Return to origin community,Return to origin community,Yes
resp_0086,Nairobi,Kawangware,Born in country,35–44,Uganda,6+,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Never,Once or twice,Several times,Once or twice,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0087,Nairobi,Kawangware,Born in country,45–54,Uganda,2–3,Mixed,Mixed,Mixed,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Mixed,Mixed,Yes,Yes,Yes,Yes,Don't know,Yes,Never,Never,Never,Once or twice,Several times,Never,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0088,Nairobi,Kawangware,Born in country,25–34,Uganda,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Once or twice,Never,Never,Never,Never,Stay in neighbourhood,Don't know,Don't know,Stay here,No
resp_0089,Nairobi,Kawangware,Born in country,45–54,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resp_0090,Nairobi,Kawangware,Born outside country,35–44,Kenya,2–3,Mixed,Yes,Mixed,Yes,Yes,Mixed,Mixed,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,No,Not applicable,Never,Once or twice,Never,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0091,Nairobi,Kawangware,Born in country,45–54,Uganda,4–5,Yes,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0092,Nairobi,Kawangware,Born outside country,25–34,Kenya,1,No,No,No,No,Mixed,Mixed,Mixed,Mixed,Yes,Mixed,Mixed,Mixed,Yes,No,Don't know,Don't know,Yes,No,Never,Once or twice,Once or twice,Once or twice,Never,Never,Move within country,No,Don't know,Don't know,Yes
resp_0093,Nairobi,Kawangware,Born in country,25–34,Ethiopia,1,No,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Don't know,Mixed,Mixed,Mixed,Yes,No,Don't know,Don't know,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within city,Yes
resp_0094,Nairobi,Kawangware,Born outside country,25–34,Kenya,4–5,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Never,Never,Never,Never,Once or twice,Once or twice,Move within country,No,Stay here,Return to origin community,Yes
resp_0095,Nairobi,Kawangware,Born in country,25–34,Uganda,4–5,No,Don't know,Don't know,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Once or twice,Once or twice,Once or twice,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0096,Nairobi,Kawangware,Born outside country,55+,Kenya,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Don't know,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0097,Nairobi,Kawangware,Born outside country,35–44,Kenya,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Move within city,Return to origin community,Yes
resp_0098,Nairobi,Kawangware,Born in country,25–34,Tanzania,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0099,Nairobi,Kawangware,Born in country,25–34,South Sudan,2–3,Yes,Yes,Yes,Yes,Don't know,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Don't know,No
