respondent_id,city,neighbourhood,migrant_status,age_group,country_of_origin,household_size_group,trust_police,trust_councillor,trust_mayor,trust_traditional_leaders,trust_local_people,trust_country_people_local,trust_neighbours,trust_service_providers,trust_religious_leaders,trust_other_religious_leaders,trust_business_people,trust_judges,belong_here,close_to_neighbours,neighbourhood_cares,future_in_neighbourhood,feel_supported,perceived_outsider,discrimination_gender,discrimination_religion,discrimination_ethnicity,discrimination_origin,discrimination_economic_status,discrimination_political,stay_or_go,plans_to_move_2_6_months,medium_term_goal,long_term_goal,moving_good_way_to_get_ahead
resp_0434,Nairobi,Kayole,Born outside country,45–54,Kenya,6+,No,No,No,No,Mixed,Mixed,Mixed,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Never,Never,Once or twice,Once or twice,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0435,Nairobi,Kayole,Born outside country,25–34,Kenya,2–3,Yes,No,Don't know,Yes,No,Don't know,Yes,Yes,Yes,No,No,Yes,No,Yes,Don't know,Don't know,Don't know,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0436,Nairobi,Kayole,Born outside country,18–24,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0437,Johannesburg,Katlehong,Born outside country,35–44,South Africa,6+,No,No,No,Don't know,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0438,Johannesburg,Katlehong,Born in country,25–34,Mozambique,4–5,Yes,No,No,Yes,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Mixed,Yes,No,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move to third country,Yes
resp_0439,Nairobi,Kayole,Born outside country,35–44,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Several times,Never,Once or twice,Never,Never,Never,Stay in neighbourhood,No,Stay here,Move within home country,Yes
resp_0440,Nairobi,Kayole,Born outside country,45–54,Kenya,1,Mixed,Yes,Don't know,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Once or twice,Once or twice,Once or twice,Once or twice,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0441,Nairobi,Kayole,Born outside country,25–34,Kenya,1,Yes,No,Yes,No,Mixed,Mixed,Mixed,Yes,Yes,No,Yes,Yes,Yes,No,Don't know,Yes,Don't know,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0442,Johannesburg,Katlehong,Born outside country,55+,South Africa,2–3,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,Don't know,Stay here,Stay here,No
resp_0443,Nairobi,Kayole,Born outside country,35–44,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0444,Nairobi,Kayole,Born outside country,25–34,Kenya,4–5,Yes,Don't know,Yes,Yes,No,No,Yes,Yes,Yes,No,Mixed,Yes,No,Yes,Don't know,Don't know,Don't know,No,Never,Never,Never,Never,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0445,Nairobi,Kayole,Born outside country,35–44,Kenya,4–5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within city,Yes
resp_0446,Accra,Madina,Born outside country,55+,Ghana,2–3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Once or twice,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0447,Nairobi,Kayole,Born outside country,25–34,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0448,Accra,James Town,Born outside country,55+,Ghana,4–5,Yes,No,Yes,Yes,Yes,Yes,Mixed,Mixed,Yes,Mixed,No,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move to third country,Yes
resp_0449,Nairobi,Kayole,Born in country,18–24,Democratic Republic of the Congo,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Mixed,Don't know,Yes,Yes,Yes,Yes,No,No,Never,Never,Once or twice,Several times,Once or twice,Never,Stay in neighbourhood,Don't know,Don't know,Move to third country,Yes
resp_0450,Johannesburg,Katlehong,Born outside country,45–54,South Africa,4–5,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Move within city,Move within city,Yes
resp_0451,Accra,Old Fadama,Born outside country,25–34,Ghana,6+,No,Mixed,Don't know,Mixed,No,No,No,Mixed,Yes,Mixed,Yes,Don't know,Yes,No,No,No,Yes,Yes,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0452,Johannesburg,Katlehong,Born outside country,25–34,South Africa,4–5,Mixed,No,Yes,Don't know,No,Don't know,No,Mixed,Yes,No,Yes,Don't know,Yes,No,No,No,Yes,No,Never,Never,Never,Never,Never,Once or twice,Leave country,No,Stay here,Move to third country,Yes
resp_0453,Johannesburg,Katlehong,Born outside country,25–34,South Africa,1,No,No,No,Mixed,Yes,Yes,Yes,Mixed,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Not applicable,Never,Never,Never,Never,Leave country,No,Don't know,Other,Yes
resp_0454,Accra,Madina,Born outside country,35–44,Ghana,2–3,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,Never,Never,Never,Never,Once or twice,Never,Stay in neighbourhood,No,Don't know,Don't know,No
resp_0455,Nairobi,Kayole,Born outside country,35–44,Kenya,6+,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Move within city,Move within city,Yes
resp_0456,Nairobi,Kayole,Born outside country,35–44,Kenya,2–3,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Once or twice,Never,Once or twice,Never,Never,Never,Stay in neighbourhood,No,Stay here,Move within home country,Yes
resp_0457,Johannesburg,Katlehong,Born in country,18–24,Mozambique,2–3,No,Yes,No,Don't know,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0458,Johannesburg,Katlehong,Born outside country,25–34,South Africa,2–3,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Don't know,No
