geography_level,city,neighbourhood,variable,category,n,pct
city,Nairobi,All,medium_term_goal,Move within city,23,4.2
city,Nairobi,All,medium_term_goal,Missing,22,4.01
city,Nairobi,All,medium_term_goal,Return to origin community,19,3.47
city,Nairobi,All,medium_term_goal,Move within home country,13,2.37
city,Nairobi,All,medium_term_goal,Move to third country,9,1.64
city,Nairobi,All,medium_term_goal,Other,1,0.18
city,Accra,All,medium_term_goal,Stay here,379,65.23
city,Accra,All,medium_term_goal,Move within city,66,11.36
city,Accra,All,medium_term_goal,Don't know,43,7.4
city,Accra,All,medium_term_goal,Move to third country,43,7.4
city,Accra,All,medium_term_goal,Move within home country,25,4.3
city,Accra,All,medium_term_goal,Return to origin community,19,3.27
city,Accra,All,medium_term_goal,Missing,4,0.69
city,Accra,All,medium_term_goal,Other,2,0.34
city,Johannesburg,All,medium_term_goal,Stay here,408,79.22
city,Johannesburg,All,medium_term_goal,Move within city,50,9.71
city,Johannesburg,All,medium_term_goal,Don't know,25,4.85
city,Johannesburg,All,medium_term_goal,Return to origin community,17,3.3
city,Johannesburg,All,medium_term_goal,Missing,5,0.97
city,Johannesburg,All,medium_term_goal,Move within home country,5,0.97
city,Johannesburg,All,medium_term_goal,Other,3,0.58
city,Johannesburg,All,medium_term_goal,Move to third country,2,0.39
city,Nairobi,All,long_term_goal,Stay here,206,37.59
city,Nairobi,All,long_term_goal,Return to origin community,85,15.51
city,Nairobi,All,long_term_goal,Don't know,67,12.23
city,Nairobi,All,long_term_goal,Move within home country,55,10.04
city,Nairobi,All,long_term_goal,Move within city,52,9.49
city,Nairobi,All,long_term_goal,Move to third country,48,8.76
city,Nairobi,All,long_term_goal,Missing,22,4.01
city,Nairobi,All,long_term_goal,Other,13,2.37
city,Accra,All,long_term_goal,Stay here,182,31.33
city,Accra,All,long_term_goal,Move to third country,142,24.44
city,Accra,All,long_term_goal,Move within city,108,18.59
city,Accra,All,long_term_goal,Don't know,74,12.74
city,Accra,All,long_term_goal,Move within home country,36,6.2
city,Accra,All,long_term_goal,Return to origin community,33,5.68
city,Accra,All,long_term_goal,Missing,4,0.69
city,Accra,All,long_term_goal,Other,2,0.34
city,Johannesburg,All,long_term_goal,Stay here,250,48.54
city,Johannesburg,All,long_term_goal,Move within city,88,17.09
city,Johannesburg,All,long_term_goal,Return to origin community,69,13.4
city,Johannesburg,All,long_term_goal,Don't know,47,9.13
