geography_level,city,neighbourhood,variable,category,n,pct
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Missing,1,0.6
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Stay here,128,78.05
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move within city,16,9.76
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Don't know,12,7.32
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Return to origin community,5,3.05
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Other,1,0.61
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move within home country,1,0.61
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move to third country,1,0.61
neighbourhood,Nairobi,Kawangware,long_term_goal,Stay here,57,27.54
neighbourhood,Nairobi,Kawangware,long_term_goal,Return to origin community,32,15.46
neighbourhood,Nairobi,Kawangware,long_term_goal,Don't know,29,14.01
neighbourhood,Nairobi,Kawangware,long_term_goal,Move within home country,25,12.08
neighbourhood,Nairobi,Kawangware,long_term_goal,Move within city,23,11.11
neighbourhood,Nairobi,Kawangware,long_term_goal,Missing,19,9.18
neighbourhood,Nairobi,Kawangware,long_term_goal,Move to third country,18,8.7
neighbourhood,Nairobi,Kawangware,long_term_goal,Other,4,1.93
neighbourhood,Nairobi,Kayole,long_term_goal,Stay here,79,45.93
neighbourhood,Nairobi,Kayole,long_term_goal,Don't know,25,14.53
neighbourhood,Nairobi,Kayole,long_term_goal,Return to origin community,21,12.21
neighbourhood,Nairobi,Kayole,long_term_goal,Move within city,15,8.72
neighbourhood,Nairobi,Kayole,long_term_goal,Move within home country,15,8.72
neighbourhood,Nairobi,Kayole,long_term_goal,Move to third country,9,5.23
neighbourhood,Nairobi,Kayole,long_term_goal,Other,5,2.91
neighbourhood,Nairobi,Kayole,long_term_goal,Missing,3,1.74
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Stay here,69,41.07
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Return to origin community,32,19.05
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move to third country,21,12.5
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move within home country,15,8.93
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move within city,14,8.33
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Don't know,13,7.74
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Other,4,2.38
neighbourhood,Accra,Madina,long_term_goal,Stay here,80,36.04
neighbourhood,Accra,Madina,long_term_goal,Move to third country,52,23.42
neighbourhood,Accra,Madina,long_term_goal,Move within city,35,15.77
neighbourhood,Accra,Madina,long_term_goal,Don't know,28,12.61
neighbourhood,Accra,Madina,long_term_goal,Return to origin community,15,6.76
neighbourhood,Accra,Madina,long_term_goal,Move within home country,9,4.05
neighbourhood,Accra,Madina,long_term_goal,Missing,3,1.35
neighbourhood,Accra,Old Fadama,long_term_goal,Stay here,66,35.11
neighbourhood,Accra,Old Fadama,long_term_goal,Move within city,41,21.81
neighbourhood,Accra,Old Fadama,long_term_goal,Don't know,39,20.74
neighbourhood,Accra,Old Fadama,long_term_goal,Move to third country,19,10.11
neighbourhood,Accra,Old Fadama,long_term_goal,Return to origin community,12,6.38
neighbourhood,Accra,Old Fadama,long_term_goal,Move within home country,10,5.32
neighbourhood,Accra,Old Fadama,long_term_goal,Missing,1,0.53
neighbourhood,Accra,James Town,long_term_goal,Move to third country,71,41.52
neighbourhood,Accra,James Town,long_term_goal,Stay here,36,21.05
neighbourhood,Accra,James Town,long_term_goal,Move within city,32,18.71
neighbourhood,Accra,James Town,long_term_goal,Move within home country,17,9.94
neighbourhood,Accra,James Town,long_term_goal,Don't know,7,4.09
neighbourhood,Accra,James Town,long_term_goal,Return to origin community,6,3.51
neighbourhood,Accra,James Town,long_term_goal,Other,2,1.17
neighbourhood,Johannesburg,Berea,long_term_goal,Stay here,70,38.25
neighbourhood,Johannesburg,Berea,long_term_goal,Move within city,46,25.14
neighbourhood,Johannesburg,Berea,long_term_goal,Return to origin community,28,15.3
neighbourhood,Johannesburg,Berea,long_term_goal,Move within home country,13,7.1
neighbourhood,Johannesburg,Berea,long_term_goal,Don't know,11,6.01
neighbourhood,Johannesburg,Berea,long_term_goal,Move to third country,7,3.83
neighbourhood,Johannesburg,Berea,long_term_goal,Missing,4,2.19
neighbourhood,Johannesburg,Berea,long_term_goal,Other,4,2.19
neighbourhood,Johannesburg,Katlehong,long_term_goal,Stay here,105,62.5
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move within city,18,10.71
neighbourhood,Johannesburg,Katlehong,long_term_goal,Don't know,17,10.12
neighbourhood,Johannesburg,Katlehong,long_term_goal,Return to origin community,13,7.74
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move to third country,6,3.57
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move within home country,6,3.57
neighbourhood,Johannesburg,Katlehong,long_term_goal,Other,2,1.19
neighbourhood,Johannesburg,Katlehong,long_term_goal,Missing,1,0.6
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Stay here,75,45.73
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Return to origin community,28,17.07
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move within city,24,14.63
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Don't know,19,11.59
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move within home country,11,6.71
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Other,4,2.44
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move to third country,3,1.83
