geography_level,city,neighbourhood,variable,category,n,denominator,share
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Return to origin community,4,,0.023799999999999998
neighbourhood,Nairobi,Ongata Rongai,medium_term_goal,Other,1,,0.006
neighbourhood,Accra,Madina,medium_term_goal,Stay here,126,,0.5676
neighbourhood,Accra,Madina,medium_term_goal,Move within city,28,,0.1261
neighbourhood,Accra,Madina,medium_term_goal,Don't know,23,,0.1036
neighbourhood,Accra,Madina,medium_term_goal,Move to third country,20,,0.0901
neighbourhood,Accra,Madina,medium_term_goal,Move within home country,11,,0.0495
neighbourhood,Accra,Madina,medium_term_goal,Return to origin community,9,,0.0405
neighbourhood,Accra,Madina,medium_term_goal,Missing,3,,0.013500000000000002
neighbourhood,Accra,Madina,medium_term_goal,Other,2,,0.009000000000000001
neighbourhood,Accra,Old Fadama,medium_term_goal,Stay here,143,,0.7606
neighbourhood,Accra,Old Fadama,medium_term_goal,Move within city,20,,0.10640000000000001
neighbourhood,Accra,Old Fadama,medium_term_goal,Don't know,12,,0.0638
neighbourhood,Accra,Old Fadama,medium_term_goal,Return to origin community,6,,0.0319
neighbourhood,Accra,Old Fadama,medium_term_goal,Move to third country,4,,0.0213
neighbourhood,Accra,Old Fadama,medium_term_goal,Move within home country,2,,0.0106
neighbourhood,Accra,Old Fadama,medium_term_goal,Missing,1,,0.0053
neighbourhood,Accra,James Town,medium_term_goal,Stay here,110,,0.6433
neighbourhood,Accra,James Town,medium_term_goal,Move to third country,19,,0.11109999999999999
neighbourhood,Accra,James Town,medium_term_goal,Move within city,18,,0.10529999999999999
neighbourhood,Accra,James Town,medium_term_goal,Move within home country,12,,0.0702
neighbourhood,Accra,James Town,medium_term_goal,Don't know,8,,0.046799999999999994
neighbourhood,Accra,James Town,medium_term_goal,Return to origin community,4,,0.023399999999999997
neighbourhood,Johannesburg,Berea,medium_term_goal,Stay here,144,,0.7868999999999999
neighbourhood,Johannesburg,Berea,medium_term_goal,Move within city,21,,0.1148
neighbourhood,Johannesburg,Berea,medium_term_goal,Return to origin community,10,,0.0546
neighbourhood,Johannesburg,Berea,medium_term_goal,Missing,4,,0.0219
neighbourhood,Johannesburg,Berea,medium_term_goal,Other,2,,0.0109
neighbourhood,Johannesburg,Berea,medium_term_goal,Move to third country,1,,0.0055000000000000005
neighbourhood,Johannesburg,Berea,medium_term_goal,Don't know,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Stay here,136,,0.8095
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Move within city,13,,0.0774
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Don't know,12,,0.07139999999999999
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Move within home country,4,,0.023799999999999998
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Return to origin community,2,,0.011899999999999999
neighbourhood,Johannesburg,Katlehong,medium_term_goal,Missing,1,,0.006
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Stay here,128,,0.7805
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move within city,16,,0.09759999999999999
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Don't know,12,,0.0732
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Return to origin community,5,,0.0305
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Other,1,,0.0060999999999999995
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move within home country,1,,0.0060999999999999995
neighbourhood,Johannesburg,Diepsloot,medium_term_goal,Move to third country,1,,0.0060999999999999995
neighbourhood,Nairobi,Kawangware,long_term_goal,Stay here,57,,0.2754
neighbourhood,Nairobi,Kawangware,long_term_goal,Return to origin community,32,,0.15460000000000002
neighbourhood,Nairobi,Kawangware,long_term_goal,Don't know,29,,0.1401
neighbourhood,Nairobi,Kawangware,long_term_goal,Move within home country,25,,0.1208
neighbourhood,Nairobi,Kawangware,long_term_goal,Move within city,23,,0.11109999999999999
neighbourhood,Nairobi,Kawangware,long_term_goal,Missing,19,,0.09179999999999999
neighbourhood,Nairobi,Kawangware,long_term_goal,Move to third country,18,,0.087
neighbourhood,Nairobi,Kawangware,long_term_goal,Other,4,,0.019299999999999998
neighbourhood,Nairobi,Kayole,long_term_goal,Stay here,79,,0.4593
neighbourhood,Nairobi,Kayole,long_term_goal,Don't know,25,,0.14529999999999998
neighbourhood,Nairobi,Kayole,long_term_goal,Return to origin community,21,,0.12210000000000001
neighbourhood,Nairobi,Kayole,long_term_goal,Move within city,15,,0.0872
neighbourhood,Nairobi,Kayole,long_term_goal,Move within home country,15,,0.0872
neighbourhood,Nairobi,Kayole,long_term_goal,Move to third country,9,,0.052300000000000006
neighbourhood,Nairobi,Kayole,long_term_goal,Other,5,,0.0291
neighbourhood,Nairobi,Kayole,long_term_goal,Missing,3,,0.0174
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Stay here,69,,0.4107
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Return to origin community,32,,0.1905
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move to third country,21,,0.125
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move within home country,15,,0.08929999999999999
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Move within city,14,,0.0833
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Don't know,13,,0.0774
neighbourhood,Nairobi,Ongata Rongai,long_term_goal,Other,4,,0.023799999999999998
neighbourhood,Accra,Madina,long_term_goal,Stay here,80,,0.3604
neighbourhood,Accra,Madina,long_term_goal,Move to third country,52,,0.23420000000000002
neighbourhood,Accra,Madina,long_term_goal,Move within city,35,,0.1577
neighbourhood,Accra,Madina,long_term_goal,Don't know,28,,0.1261
neighbourhood,Accra,Madina,long_term_goal,Return to origin community,15,,0.0676
neighbourhood,Accra,Madina,long_term_goal,Move within home country,9,,0.0405
neighbourhood,Accra,Madina,long_term_goal,Missing,3,,0.013500000000000002
neighbourhood,Accra,Old Fadama,long_term_goal,Stay here,66,,0.35109999999999997
neighbourhood,Accra,Old Fadama,long_term_goal,Move within city,41,,0.2181
neighbourhood,Accra,Old Fadama,long_term_goal,Don't know,39,,0.20739999999999997
neighbourhood,Accra,Old Fadama,long_term_goal,Move to third country,19,,0.1011
neighbourhood,Accra,Old Fadama,long_term_goal,Return to origin community,12,,0.0638
neighbourhood,Accra,Old Fadama,long_term_goal,Move within home country,10,,0.053200000000000004
neighbourhood,Accra,Old Fadama,long_term_goal,Missing,1,,0.0053
neighbourhood,Accra,James Town,long_term_goal,Move to third country,71,,0.4152
neighbourhood,Accra,James Town,long_term_goal,Stay here,36,,0.21050000000000002
neighbourhood,Accra,James Town,long_term_goal,Move within city,32,,0.18710000000000002
neighbourhood,Accra,James Town,long_term_goal,Move within home country,17,,0.09939999999999999
neighbourhood,Accra,James Town,long_term_goal,Don't know,7,,0.0409
neighbourhood,Accra,James Town,long_term_goal,Return to origin community,6,,0.0351
neighbourhood,Accra,James Town,long_term_goal,Other,2,,0.011699999999999999
neighbourhood,Johannesburg,Berea,long_term_goal,Stay here,70,,0.3825
neighbourhood,Johannesburg,Berea,long_term_goal,Move within city,46,,0.2514
neighbourhood,Johannesburg,Berea,long_term_goal,Return to origin community,28,,0.153
neighbourhood,Johannesburg,Berea,long_term_goal,Move within home country,13,,0.071
neighbourhood,Johannesburg,Berea,long_term_goal,Don't know,11,,0.0601
neighbourhood,Johannesburg,Berea,long_term_goal,Move to third country,7,,0.0383
neighbourhood,Johannesburg,Berea,long_term_goal,Missing,4,,0.0219
neighbourhood,Johannesburg,Berea,long_term_goal,Other,4,,0.0219
neighbourhood,Johannesburg,Katlehong,long_term_goal,Stay here,105,,0.625
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move within city,18,,0.10710000000000001
neighbourhood,Johannesburg,Katlehong,long_term_goal,Don't know,17,,0.1012
neighbourhood,Johannesburg,Katlehong,long_term_goal,Return to origin community,13,,0.0774
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move to third country,6,,0.035699999999999996
neighbourhood,Johannesburg,Katlehong,long_term_goal,Move within home country,6,,0.035699999999999996
neighbourhood,Johannesburg,Katlehong,long_term_goal,Other,2,,0.011899999999999999
neighbourhood,Johannesburg,Katlehong,long_term_goal,Missing,1,,0.006
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Stay here,75,,0.4573
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Return to origin community,28,,0.1707
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move within city,24,,0.1463
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Don't know,19,,0.1159
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move within home country,11,,0.06709999999999999
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Other,4,,0.024399999999999998
neighbourhood,Johannesburg,Diepsloot,long_term_goal,Move to third country,3,,0.0183
neighbourhood,Accra,James Town,age_group,18-24,19,171.0,0.1111111111111111
neighbourhood,Accra,James Town,age_group,25-34,64,171.0,0.3742690058479532
neighbourhood,Accra,James Town,age_group,35-44,56,171.0,0.327485380116959
neighbourhood,Accra,James Town,age_group,45-54,22,171.0,0.1286549707602339
neighbourhood,Accra,James Town,age_group,55+,9,171.0,0.0526315789473684
neighbourhood,Accra,James Town,age_group,Missing,1,171.0,0.0058479532163742
neighbourhood,Accra,Madina,age_group,18-24,50,222.0,0.2252252252252252
neighbourhood,Accra,Madina,age_group,25-34,77,222.0,0.3468468468468468
neighbourhood,Accra,Madina,age_group,35-44,45,222.0,0.2027027027027027
neighbourhood,Accra,Madina,age_group,45-54,25,222.0,0.1126126126126126
neighbourhood,Accra,Madina,age_group,55+,25,222.0,0.1126126126126126
neighbourhood,Accra,Old Fadama,age_group,18-24,40,188.0,0.2127659574468085
neighbourhood,Accra,Old Fadama,age_group,25-34,78,188.0,0.4148936170212766
neighbourhood,Accra,Old Fadama,age_group,35-44,51,188.0,0.2712765957446808
neighbourhood,Accra,Old Fadama,age_group,45-54,17,188.0,0.0904255319148936
neighbourhood,Accra,Old Fadama,age_group,Missing,2,188.0,0.0106382978723404
neighbourhood,Johannesburg,Berea,age_group,18-24,38,183.0,0.2076502732240437
neighbourhood,Johannesburg,Berea,age_group,25-34,72,183.0,0.3934426229508196
neighbourhood,Johannesburg,Berea,age_group,35-44,43,183.0,0.2349726775956284
neighbourhood,Johannesburg,Berea,age_group,45-54,19,183.0,0.1038251366120218
neighbourhood,Johannesburg,Berea,age_group,55+,11,183.0,0.0601092896174863
neighbourhood,Johannesburg,Diepsloot,age_group,18-24,31,164.0,0.1890243902439024
neighbourhood,Johannesburg,Diepsloot,age_group,25-34,62,164.0,0.3780487804878049
neighbourhood,Johannesburg,Diepsloot,age_group,35-44,33,164.0,0.2012195121951219
neighbourhood,Johannesburg,Diepsloot,age_group,45-54,20,164.0,0.1219512195121951
neighbourhood,Johannesburg,Diepsloot,age_group,55+,18,164.0,0.1097560975609756
neighbourhood,Johannesburg,Katlehong,age_group,18-24,28,168.0,0.1666666666666666
neighbourhood,Johannesburg,Katlehong,age_group,25-34,53,168.0,0.3154761904761904
neighbourhood,Johannesburg,Katlehong,age_group,35-44,43,168.0,0.2559523809523809
neighbourhood,Johannesburg,Katlehong,age_group,45-54,26,168.0,0.1547619047619047
neighbourhood,Johannesburg,Katlehong,age_group,55+,18,168.0,0.1071428571428571
neighbourhood,Nairobi,Missing,age_group,Missing,1,1.0,1.0
neighbourhood,Nairobi,Kawangware,age_group,18-24,50,207.0,0.2415458937198067
neighbourhood,Nairobi,Kawangware,age_group,25-34,85,207.0,0.4106280193236715
neighbourhood,Nairobi,Kawangware,age_group,35-44,39,207.0,0.1884057971014492
neighbourhood,Nairobi,Kawangware,age_group,45-54,16,207.0,0.0772946859903381
neighbourhood,Nairobi,Kawangware,age_group,55+,17,207.0,0.0821256038647343
neighbourhood,Nairobi,Kayole,age_group,18-24,40,172.0,0.2325581395348837
neighbourhood,Nairobi,Kayole,age_group,25-34,80,172.0,0.4651162790697674
neighbourhood,Nairobi,Kayole,age_group,35-44,35,172.0,0.2034883720930232
neighbourhood,Nairobi,Kayole,age_group,45-54,13,172.0,0.0755813953488372
neighbourhood,Nairobi,Kayole,age_group,Missing,4,172.0,0.0232558139534883
neighbourhood,Nairobi,Ongata Rongai,age_group,18-24,32,168.0,0.1904761904761904
neighbourhood,Nairobi,Ongata Rongai,age_group,25-34,90,168.0,0.5357142857142857
neighbourhood,Nairobi,Ongata Rongai,age_group,35-44,26,168.0,0.1547619047619047
neighbourhood,Nairobi,Ongata Rongai,age_group,45-54,15,168.0,0.0892857142857142
neighbourhood,Nairobi,Ongata Rongai,age_group,55+,5,168.0,0.0297619047619047
neighbourhood,Accra,James Town,gender,Female,85,171.0,0.4970760233918128
neighbourhood,Accra,James Town,gender,Male,86,171.0,0.5029239766081871
neighbourhood,Accra,Madina,gender,Female,111,222.0,0.5
neighbourhood,Accra,Madina,gender,Male,111,222.0,0.5
neighbourhood,Accra,Old Fadama,gender,Female,96,188.0,0.5106382978723404
neighbourhood,Accra,Old Fadama,gender,Male,92,188.0,0.4893617021276595
neighbourhood,Johannesburg,Berea,gender,Female,90,183.0,0.4918032786885246
neighbourhood,Johannesburg,Berea,gender,Male,93,183.0,0.5081967213114754
neighbourhood,Johannesburg,Diepsloot,gender,Female,82,164.0,0.5
neighbourhood,Johannesburg,Diepsloot,gender,Male,82,164.0,0.5
neighbourhood,Johannesburg,Katlehong,gender,Female,78,168.0,0.4642857142857143
neighbourhood,Johannesburg,Katlehong,gender,Male,90,168.0,0.5357142857142857
neighbourhood,Nairobi,Missing,gender,Missing,1,1.0,1.0
neighbourhood,Nairobi,Kawangware,gender,Female,101,207.0,0.4879227053140096
neighbourhood,Nairobi,Kawangware,gender,Male,106,207.0,0.5120772946859904
neighbourhood,Nairobi,Kayole,gender,Female,86,172.0,0.5
neighbourhood,Nairobi,Kayole,gender,Male,86,172.0,0.5
neighbourhood,Nairobi,Ongata Rongai,gender,Female,85,168.0,0.5059523809523809
neighbourhood,Nairobi,Ongata Rongai,gender,Male,83,168.0,0.494047619047619
neighbourhood,Accra,James Town,migrant_status,Migrant,88,171.0,0.5146198830409356
neighbourhood,Accra,James Town,migrant_status,Non-migrant,83,171.0,0.4853801169590643
neighbourhood,Accra,Madina,migrant_status,Migrant,160,222.0,0.7207207207207207
neighbourhood,Accra,Madina,migrant_status,Non-migrant,62,222.0,0.2792792792792792
neighbourhood,Accra,Old Fadama,migrant_status,Migrant,128,188.0,0.6808510638297872
neighbourhood,Accra,Old Fadama,migrant_status,Non-migrant,60,188.0,0.3191489361702128
neighbourhood,Johannesburg,Berea,migrant_status,Migrant,102,183.0,0.5573770491803278
neighbourhood,Johannesburg,Berea,migrant_status,Non-migrant,81,183.0,0.4426229508196721
neighbourhood,Johannesburg,Diepsloot,migrant_status,Migrant,103,164.0,0.6280487804878049
neighbourhood,Johannesburg,Diepsloot,migrant_status,Non-migrant,61,164.0,0.3719512195121951
neighbourhood,Johannesburg,Katlehong,migrant_status,Migrant,107,168.0,0.6369047619047619
neighbourhood,Johannesburg,Katlehong,migrant_status,Non-migrant,61,168.0,0.3630952380952381
neighbourhood,Nairobi,Missing,migrant_status,Missing,1,1.0,1.0
neighbourhood,Nairobi,Kawangware,migrant_status,Migrant,143,207.0,0.6908212560386473
neighbourhood,Nairobi,Kawangware,migrant_status,Non-migrant,64,207.0,0.3091787439613526
neighbourhood,Nairobi,Kayole,migrant_status,Migrant,119,172.0,0.6918604651162791
neighbourhood,Nairobi,Kayole,migrant_status,Non-migrant,53,172.0,0.3081395348837209
neighbourhood,Nairobi,Ongata Rongai,migrant_status,Migrant,118,168.0,0.7023809523809523
neighbourhood,Nairobi,Ongata Rongai,migrant_status,Non-migrant,50,168.0,0.2976190476190476
neighbourhood,Accra,James Town,education_group,Missing,10,171.0,0.0584795321637426
neighbourhood,Accra,James Town,education_group,No formal schooling,14,171.0,0.0818713450292397
neighbourhood,Accra,James Town,education_group,Primary,66,171.0,0.3859649122807017
neighbourhood,Accra,James Town,education_group,Secondary,75,171.0,0.4385964912280701
neighbourhood,Accra,James Town,education_group,Tertiary,6,171.0,0.0350877192982456
neighbourhood,Accra,Madina,education_group,Missing,11,222.0,0.0495495495495495
neighbourhood,Accra,Madina,education_group,No formal schooling,11,222.0,0.0495495495495495
neighbourhood,Accra,Madina,education_group,Primary,64,222.0,0.2882882882882883
neighbourhood,Accra,Madina,education_group,Secondary,108,222.0,0.4864864864864865
neighbourhood,Accra,Madina,education_group,Tertiary,28,222.0,0.1261261261261261
neighbourhood,Accra,Old Fadama,education_group,Missing,2,188.0,0.0106382978723404
neighbourhood,Accra,Old Fadama,education_group,No formal schooling,41,188.0,0.2180851063829787
neighbourhood,Accra,Old Fadama,education_group,Primary,70,188.0,0.3723404255319149
neighbourhood,Accra,Old Fadama,education_group,Secondary,64,188.0,0.3404255319148936
neighbourhood,Accra,Old Fadama,education_group,Tertiary,11,188.0,0.0585106382978723
neighbourhood,Johannesburg,Berea,education_group,Missing,35,183.0,0.1912568306010929
neighbourhood,Johannesburg,Berea,education_group,Primary,34,183.0,0.1857923497267759
neighbourhood,Johannesburg,Berea,education_group,Secondary,102,183.0,0.5573770491803278
neighbourhood,Johannesburg,Berea,education_group,Tertiary,12,183.0,0.0655737704918032
neighbourhood,Johannesburg,Diepsloot,education_group,Missing,45,164.0,0.274390243902439
neighbourhood,Johannesburg,Diepsloot,education_group,Primary,48,164.0,0.2926829268292683
neighbourhood,Johannesburg,Diepsloot,education_group,Secondary,71,164.0,0.4329268292682927
neighbourhood,Johannesburg,Katlehong,education_group,Missing,44,168.0,0.2619047619047619
neighbourhood,Johannesburg,Katlehong,education_group,Primary,56,168.0,0.3333333333333333
neighbourhood,Johannesburg,Katlehong,education_group,Secondary,60,168.0,0.3571428571428571
neighbourhood,Johannesburg,Katlehong,education_group,Tertiary,8,168.0,0.0476190476190476
neighbourhood,Nairobi,Missing,education_group,Missing,1,1.0,1.0
neighbourhood,Nairobi,Kawangware,education_group,Missing,25,207.0,0.1207729468599033
neighbourhood,Nairobi,Kawangware,education_group,Primary,74,207.0,0.357487922705314
neighbourhood,Nairobi,Kawangware,education_group,Secondary,78,207.0,0.3768115942028985
neighbourhood,Nairobi,Kawangware,education_group,Tertiary,30,207.0,0.144927536231884
neighbourhood,Nairobi,Kayole,education_group,Missing,8,172.0,0.0465116279069767
neighbourhood,Nairobi,Kayole,education_group,No formal schooling,10,172.0,0.0581395348837209
neighbourhood,Nairobi,Kayole,education_group,Primary,44,172.0,0.2558139534883721
neighbourhood,Nairobi,Kayole,education_group,Secondary,71,172.0,0.4127906976744186
neighbourhood,Nairobi,Kayole,education_group,Tertiary,39,172.0,0.2267441860465116
neighbourhood,Nairobi,Ongata Rongai,education_group,Missing,16,168.0,0.0952380952380952
neighbourhood,Nairobi,Ongata Rongai,education_group,Primary,38,168.0,0.2261904761904762
neighbourhood,Nairobi,Ongata Rongai,education_group,Secondary,73,168.0,0.4345238095238095
neighbourhood,Nairobi,Ongata Rongai,education_group,Tertiary,41,168.0,0.244047619047619
neighbourhood,Accra,James Town,employment_status,Employed,77,171.0,0.4502923976608187
neighbourhood,Accra,James Town,employment_status,Missing,77,171.0,0.4502923976608187
neighbourhood,Accra,James Town,employment_status,Unemployed,17,171.0,0.0994152046783625
neighbourhood,Accra,Madina,employment_status,Employed,86,222.0,0.3873873873873873
neighbourhood,Accra,Madina,employment_status,Missing,104,222.0,0.4684684684684684
neighbourhood,Accra,Madina,employment_status,Student,9,222.0,0.0405405405405405
neighbourhood,Accra,Madina,employment_status,Unemployed,23,222.0,0.1036036036036036
neighbourhood,Accra,Old Fadama,employment_status,Employed,112,188.0,0.5957446808510638
neighbourhood,Accra,Old Fadama,employment_status,Missing,69,188.0,0.3670212765957447
neighbourhood,Accra,Old Fadama,employment_status,Unemployed,7,188.0,0.0372340425531914
neighbourhood,Johannesburg,Berea,employment_status,Employed,42,183.0,0.2295081967213114
neighbourhood,Johannesburg,Berea,employment_status,Missing,85,183.0,0.4644808743169399
neighbourhood,Johannesburg,Berea,employment_status,Student,14,183.0,0.0765027322404371
neighbourhood,Johannesburg,Berea,employment_status,Unemployed,42,183.0,0.2295081967213114
neighbourhood,Johannesburg,Diepsloot,employment_status,Employed,36,164.0,0.2195121951219512
neighbourhood,Johannesburg,Diepsloot,employment_status,Missing,72,164.0,0.4390243902439024
neighbourhood,Johannesburg,Diepsloot,employment_status,Student,6,164.0,0.0365853658536585
neighbourhood,Johannesburg,Diepsloot,employment_status,Unemployed,50,164.0,0.3048780487804878
neighbourhood,Johannesburg,Katlehong,employment_status,Employed,52,168.0,0.3095238095238095
neighbourhood,Johannesburg,Katlehong,employment_status,Missing,34,168.0,0.2023809523809523
neighbourhood,Johannesburg,Katlehong,employment_status,Student,5,168.0,0.0297619047619047
neighbourhood,Johannesburg,Katlehong,employment_status,Unemployed,77,168.0,0.4583333333333333
neighbourhood,Nairobi,Missing,employment_status,Missing,1,1.0,1.0
neighbourhood,Nairobi,Kawangware,employment_status,Employed,58,207.0,0.2801932367149758
neighbourhood,Nairobi,Kawangware,employment_status,Missing,87,207.0,0.4202898550724637
neighbourhood,Nairobi,Kawangware,employment_status,Student,11,207.0,0.0531400966183574
neighbourhood,Nairobi,Kawangware,employment_status,Unemployed,51,207.0,0.2463768115942029
neighbourhood,Nairobi,Kayole,employment_status,Employed,86,172.0,0.5
neighbourhood,Nairobi,Kayole,employment_status,Missing,68,172.0,0.3953488372093023
neighbourhood,Nairobi,Kayole,employment_status,Unemployed,18,172.0,0.1046511627906976
neighbourhood,Nairobi,Ongata Rongai,employment_status,Employed,38,168.0,0.2261904761904762
neighbourhood,Nairobi,Ongata Rongai,employment_status,Missing,79,168.0,0.4702380952380952
neighbourhood,Nairobi,Ongata Rongai,employment_status,Student,11,168.0,0.0654761904761904
neighbourhood,Nairobi,Ongata Rongai,employment_status,Unemployed,40,168.0,0.238095238095238
city,Accra,All,age_group,18-24,109,581.0,0.1876075731497418
city,Accra,All,age_group,25-34,219,581.0,0.3769363166953528
city,Accra,All,age_group,35-44,152,581.0,0.261617900172117
city,Accra,All,age_group,45-54,64,581.0,0.1101549053356282
city,Accra,All,age_group,55+,36,581.0,0.0619621342512908
city,Accra,All,age_group,Missing,1,581.0,0.0017211703958691
city,Johannesburg,All,age_group,18-24,97,515.0,0.1883495145631068
city,Johannesburg,All,age_group,25-34,187,515.0,0.3631067961165048
city,Johannesburg,All,age_group,35-44,119,515.0,0.2310679611650485
city,Johannesburg,All,age_group,45-54,65,515.0,0.1262135922330097
city,Johannesburg,All,age_group,55+,47,515.0,0.0912621359223301
city,Nairobi,All,age_group,18-24,122,548.0,0.2226277372262773
city,Nairobi,All,age_group,25-34,256,548.0,0.4671532846715328
city,Nairobi,All,age_group,35-44,100,548.0,0.1824817518248175
city,Nairobi,All,age_group,45-54,44,548.0,0.0802919708029197
city,Nairobi,All,age_group,55+,26,548.0,0.0474452554744525
city,Accra,All,gender,Female,292,581.0,0.5025817555938038
city,Accra,All,gender,Male,289,581.0,0.4974182444061962
city,Johannesburg,All,gender,Female,250,515.0,0.4854368932038835
city,Johannesburg,All,gender,Male,265,515.0,0.5145631067961165
city,Nairobi,All,gender,Female,272,548.0,0.4963503649635036
city,Nairobi,All,gender,Male,275,548.0,0.5018248175182481
city,Nairobi,All,gender,Missing,1,548.0,0.0018248175182481
city,Accra,All,migrant_status,Migrant,376,581.0,0.6471600688468159
city,Accra,All,migrant_status,Non-migrant,205,581.0,0.3528399311531842
city,Johannesburg,All,migrant_status,Migrant,312,515.0,0.6058252427184466
city,Johannesburg,All,migrant_status,Non-migrant,203,515.0,0.3941747572815534
city,Nairobi,All,migrant_status,Migrant,381,548.0,0.6952554744525548
city,Nairobi,All,migrant_status,Non-migrant,167,548.0,0.3047445255474452
city,Accra,All,education_group,Missing,23,581.0,0.0395869191049913
city,Accra,All,education_group,No formal schooling,66,581.0,0.1135972461273666
city,Accra,All,education_group,Primary,200,581.0,0.3442340791738382
city,Accra,All,education_group,Secondary,247,581.0,0.4251290877796901
city,Accra,All,education_group,Tertiary,45,581.0,0.0774526678141136
city,Johannesburg,All,education_group,Missing,110,515.0,0.2135922330097087
city,Johannesburg,All,education_group,No formal schooling,10,515.0,0.0194174757281553
city,Johannesburg,All,education_group,Primary,138,515.0,0.2679611650485436
city,Johannesburg,All,education_group,Secondary,233,515.0,0.4524271844660194
city,Johannesburg,All,education_group,Tertiary,24,515.0,0.0466019417475728
city,Nairobi,All,education_group,Missing,43,548.0,0.0784671532846715
city,Nairobi,All,education_group,No formal schooling,16,548.0,0.0291970802919708
city,Nairobi,All,education_group,Primary,156,548.0,0.2846715328467153
city,Nairobi,All,education_group,Secondary,222,548.0,0.4051094890510949
city,Nairobi,All,education_group,Tertiary,111,548.0,0.2025547445255474
city,Accra,All,employment_status,Employed,275,581.0,0.4733218588640275
city,Accra,All,employment_status,Missing,247,581.0,0.4251290877796901
city,Accra,All,employment_status,Student,12,581.0,0.0206540447504302
city,Accra,All,employment_status,Unemployed,47,581.0,0.0808950086058519
city,Johannesburg,All,employment_status,Employed,130,515.0,0.2524271844660194
city,Johannesburg,All,employment_status,Missing,191,515.0,0.3708737864077669
city,Johannesburg,All,employment_status,Student,25,515.0,0.0485436893203883
city,Johannesburg,All,employment_status,Unemployed,169,515.0,0.3281553398058252
city,Nairobi,All,employment_status,Employed,182,548.0,0.3321167883211678
city,Nairobi,All,employment_status,Missing,232,548.0,0.4233576642335766
city,Nairobi,All,employment_status,Student,25,548.0,0.0456204379562043
city,Nairobi,All,employment_status,Unemployed,109,548.0,0.1989051094890511
