geography_level,city,neighbourhood,variable,category,n,denominator,share
city,Nairobi,All,stay_or_go,Move within country,89,,0.1624
city,Nairobi,All,stay_or_go,Leave country,72,,0.13140000000000002
city,Nairobi,All,stay_or_go,Missing,22,,0.0401
city,Accra,All,stay_or_go,Stay in neighbourhood,276,,0.475
city,Accra,All,stay_or_go,Move within country,151,,0.25989999999999996
city,Accra,All,stay_or_go,Leave country,150,,0.2582
city,Accra,All,stay_or_go,Missing,4,,0.0069
city,Johannesburg,All,stay_or_go,Stay in neighbourhood,354,,0.6873999999999999
city,Johannesburg,All,stay_or_go,Move within country,103,,0.2
city,Johannesburg,All,stay_or_go,Leave country,53,,0.10289999999999999
city,Johannesburg,All,stay_or_go,Missing,5,,0.0097
city,Nairobi,All,medium_term_goal,Stay here,410,,0.7482
city,Nairobi,All,medium_term_goal,Don't know,51,,0.0931
city,Nairobi,All,medium_term_goal,Move within city,23,,0.042
city,Nairobi,All,medium_term_goal,Missing,22,,0.0401
city,Nairobi,All,medium_term_goal,Return to origin community,19,,0.0347
city,Nairobi,All,medium_term_goal,Move within home country,13,,0.023700000000000002
city,Nairobi,All,medium_term_goal,Move to third country,9,,0.016399999999999998
city,Nairobi,All,medium_term_goal,Other,1,,0.0018
city,Accra,All,medium_term_goal,Stay here,379,,0.6523
city,Accra,All,medium_term_goal,Move within city,66,,0.11359999999999999
city,Accra,All,medium_term_goal,Don't know,43,,0.07400000000000001
city,Accra,All,medium_term_goal,Move to third country,43,,0.07400000000000001
city,Accra,All,medium_term_goal,Move within home country,25,,0.043
city,Accra,All,medium_term_goal,Return to origin community,19,,0.0327
city,Accra,All,medium_term_goal,Missing,4,,0.0069
city,Accra,All,medium_term_goal,Other,2,,0.0034000000000000002
city,Johannesburg,All,medium_term_goal,Stay here,408,,0.7922
city,Johannesburg,All,medium_term_goal,Move within city,50,,0.0971
city,Johannesburg,All,medium_term_goal,Don't know,25,,0.048499999999999995
city,Johannesburg,All,medium_term_goal,Return to origin community,17,,0.033
city,Johannesburg,All,medium_term_goal,Missing,5,,0.0097
city,Johannesburg,All,medium_term_goal,Move within home country,5,,0.0097
city,Johannesburg,All,medium_term_goal,Other,3,,0.0058
city,Johannesburg,All,medium_term_goal,Move to third country,2,,0.0039000000000000003
city,Nairobi,All,long_term_goal,Stay here,206,,0.3759
city,Nairobi,All,long_term_goal,Return to origin community,85,,0.1551
city,Nairobi,All,long_term_goal,Don't know,67,,0.1223
city,Nairobi,All,long_term_goal,Move within home country,55,,0.10039999999999999
city,Nairobi,All,long_term_goal,Move within city,52,,0.0949
city,Nairobi,All,long_term_goal,Move to third country,48,,0.0876
city,Nairobi,All,long_term_goal,Missing,22,,0.0401
city,Nairobi,All,long_term_goal,Other,13,,0.023700000000000002
city,Accra,All,long_term_goal,Stay here,182,,0.31329999999999997
city,Accra,All,long_term_goal,Move to third country,142,,0.2444
city,Accra,All,long_term_goal,Move within city,108,,0.1859
city,Accra,All,long_term_goal,Don't know,74,,0.1274
city,Accra,All,long_term_goal,Move within home country,36,,0.062
city,Accra,All,long_term_goal,Return to origin community,33,,0.056799999999999996
city,Accra,All,long_term_goal,Missing,4,,0.0069
city,Accra,All,long_term_goal,Other,2,,0.0034000000000000002
city,Johannesburg,All,long_term_goal,Stay here,250,,0.4854
city,Johannesburg,All,long_term_goal,Move within city,88,,0.1709
city,Johannesburg,All,long_term_goal,Return to origin community,69,,0.134
city,Johannesburg,All,long_term_goal,Don't know,47,,0.0913
city,Johannesburg,All,long_term_goal,Move within home country,30,,0.0583
city,Johannesburg,All,long_term_goal,Move to third country,16,,0.0311
city,Johannesburg,All,long_term_goal,Other,10,,0.0194
city,Johannesburg,All,long_term_goal,Missing,5,,0.0097
neighbourhood,Nairobi,Kawangware,belong_here,Yes,169,,0.8164
neighbourhood,Nairobi,Kawangware,belong_here,No,29,,0.1401
neighbourhood,Nairobi,Kawangware,belong_here,Missing,9,,0.0435
neighbourhood,Nairobi,Kayole,belong_here,Yes,150,,0.8721
neighbourhood,Nairobi,Kayole,belong_here,No,21,,0.12210000000000001
neighbourhood,Nairobi,Kayole,belong_here,Missing,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,belong_here,Yes,153,,0.9107
neighbourhood,Nairobi,Ongata Rongai,belong_here,No,15,,0.08929999999999999
neighbourhood,Accra,Madina,belong_here,Yes,187,,0.8423
neighbourhood,Accra,Madina,belong_here,No,34,,0.1532
neighbourhood,Accra,Madina,belong_here,Missing,1,,0.0045000000000000005
neighbourhood,Accra,Old Fadama,belong_here,Yes,132,,0.7021
neighbourhood,Accra,Old Fadama,belong_here,No,55,,0.2926
neighbourhood,Accra,Old Fadama,belong_here,Missing,1,,0.0053
neighbourhood,Accra,James Town,belong_here,Yes,117,,0.6842
neighbourhood,Accra,James Town,belong_here,No,54,,0.31579999999999997
