site_code,city,jhb_neighbourhood,accra_neighbourhood,nairobi_neighbourhood,age_group,gender,migrant_status,education_group,employment_status
290525,Accra,-1,Madina,-1,25-34,Female,Migrant,Primary,Unemployed
290531,Accra,-1,Old Fadama,-1,35-44,Male,Migrant,Primary,Employed
290545,Accra,-1,Old Fadama,-1,18-24,Female,Migrant,Secondary,Missing
290551,Accra,-1,Old Fadama,-1,25-34,Male,Migrant,Tertiary,Employed
290564,Accra,-1,James Town,-1,25-34,Male,Migrant,Primary,Missing
290568,Accra,-1,James Town,-1,55+,Female,Non-migrant,Primary,Missing
290576,Accra,-1,Madina,-1,18-24,Male,Migrant,No formal schooling,Missing
290641,Accra,-1,Old Fadama,-1,35-44,Male,Non-migrant,Secondary,Employed
290648,Accra,-1,Madina,-1,25-34,Male,Migrant,Secondary,Employed
290650,Accra,-1,James Town,-1,35-44,Male,Non-migrant,Missing,Missing
290651,Accra,-1,Old Fadama,-1,25-34,Male,Non-migrant,Primary,Employed
290652,Accra,-1,James Town,-1,18-24,Female,Migrant,Primary,Missing
290653,Accra,-1,Madina,-1,45-54,Female,Migrant,Primary,Employed
290656,Accra,-1,James Town,-1,45-54,Male,Migrant,Missing,Employed
290664,Accra,-1,Madina,-1,25-34,Male,Migrant,Secondary,Missing
290670,Accra,-1,Old Fadama,-1,35-44,Male,Non-migrant,Secondary,Employed
290671,Accra,-1,Madina,-1,18-24,Male,Migrant,Secondary,Unemployed
290677,Accra,-1,Old Fadama,-1,18-24,Female,Migrant,Primary,Unemployed
290678,Accra,-1,James Town,-1,45-54,Male,Non-migrant,Secondary,Employed
290679,Accra,-1,Old Fadama,-1,18-24,Female,Migrant,Primary,Missing
290680,Accra,-1,Madina,-1,35-44,Male,Migrant,Primary,Employed
290682,Accra,-1,Madina,-1,18-24,Male,Migrant,Secondary,Student
290683,Accra,-1,Old Fadama,-1,35-44,Male,Non-migrant,Secondary,Employed
290686,Accra,-1,Madina,-1,35-44,Male,Migrant,Secondary,Employed
290687,Accra,-1,Madina,-1,55+,Male,Migrant,Secondary,Missing
290689,Accra,-1,Madina,-1,25-34,Male,Migrant,Missing,Missing
291025,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
291026,Johannesburg,Diepsloot,-1,-1,35-44,Male,Migrant,Primary,Missing
291027,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Student
291028,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
291044,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Missing
291045,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Secondary,Employed
291046,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Primary,Unemployed
291047,Johannesburg,Diepsloot,-1,-1,35-44,Female,Non-migrant,Primary,Unemployed
291048,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Missing
291049,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Primary,Missing
291050,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Missing,Employed
291051,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Missing,Missing
291052,Johannesburg,Diepsloot,-1,-1,18-24,Female,Non-migrant,Missing,Missing
291053,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Missing,Missing
292905,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Missing,Missing
292906,Johannesburg,Diepsloot,-1,-1,55+,Male,Non-migrant,Primary,Unemployed
292907,Johannesburg,Diepsloot,-1,-1,55+,Male,Migrant,Primary,Unemployed
292908,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Tertiary,Unemployed
292909,Johannesburg,Diepsloot,-1,-1,55+,Male,Non-migrant,Missing,Unemployed
292910,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Missing,Missing
292933,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Primary,Employed
292935,Johannesburg,Diepsloot,-1,-1,35-44,Male,Non-migrant,Secondary,Missing
292936,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
292937,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Primary,Missing
292938,Johannesburg,Diepsloot,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
292939,Johannesburg,Diepsloot,-1,-1,35-44,Female,Non-migrant,Secondary,Employed
292941,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
292942,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Primary,Unemployed
292943,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Missing
292947,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Missing
292948,Johannesburg,Diepsloot,-1,-1,35-44,Male,Migrant,Tertiary,Missing
292949,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Missing,Missing
292961,Johannesburg,Diepsloot,-1,-1,35-44,Male,Non-migrant,Secondary,Missing
292962,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Secondary,Unemployed
292963,Johannesburg,Diepsloot,-1,-1,18-24,Male,Non-migrant,Secondary,Missing
292964,Johannesburg,Diepsloot,-1,-1,55+,Female,Migrant,No formal schooling,Missing
292965,Johannesburg,Diepsloot,-1,-1,55+,Male,Migrant,Primary,Missing
292966,Johannesburg,Diepsloot,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
293511,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Primary,Missing
293512,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
293513,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Primary,Missing
293541,Johannesburg,Diepsloot,-1,-1,35-44,Male,Non-migrant,Missing,Missing
293542,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Missing,Missing
293543,Johannesburg,Diepsloot,-1,-1,18-24,Male,Non-migrant,Missing,Missing
293545,Johannesburg,Diepsloot,-1,-1,45-54,Male,Non-migrant,Missing,Employed
293546,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Missing
293547,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Missing,Employed
293570,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Primary,Employed
293571,Johannesburg,Diepsloot,-1,-1,55+,Male,Migrant,Primary,Unemployed
293572,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Secondary,Missing
293578,Johannesburg,Diepsloot,-1,-1,55+,Female,Migrant,Missing,Missing
293579,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Student
293580,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Missing
293581,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Missing,Missing
293582,Johannesburg,Diepsloot,-1,-1,55+,Female,Non-migrant,Missing,Unemployed
293584,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Secondary,Missing
293585,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Secondary,Missing
293591,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Secondary,Employed
293592,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Primary,Unemployed
293593,Johannesburg,Diepsloot,-1,-1,45-54,Male,Migrant,Primary,Unemployed
293600,Johannesburg,Diepsloot,-1,-1,55+,Male,Migrant,No formal schooling,Employed
293601,Johannesburg,Diepsloot,-1,-1,55+,Male,Migrant,Primary,Unemployed
293602,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Secondary,Missing
294012,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Secondary,Student
294150,Johannesburg,Diepsloot,-1,-1,45-54,Female,Migrant,Missing,Missing
294151,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Missing,Unemployed
294152,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Missing,Employed
294153,Johannesburg,Diepsloot,-1,-1,45-54,Male,Migrant,Secondary,Missing
294155,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
294156,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Secondary,Employed
294157,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Missing
294159,Johannesburg,Diepsloot,-1,-1,45-54,Female,Migrant,Secondary,Missing
294160,Johannesburg,Diepsloot,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
294161,Johannesburg,Diepsloot,-1,-1,45-54,Male,Non-migrant,Primary,Employed
294164,Johannesburg,Diepsloot,-1,-1,18-24,Female,Migrant,Secondary,Missing
294165,Johannesburg,Diepsloot,-1,-1,35-44,Male,Non-migrant,Missing,Missing
294166,Johannesburg,Diepsloot,-1,-1,25-34,Female,Migrant,Missing,Unemployed
294167,Johannesburg,Diepsloot,-1,-1,25-34,Female,Non-migrant,Secondary,Missing
294171,Johannesburg,Diepsloot,-1,-1,35-44,Female,Migrant,Secondary,Missing
294172,Johannesburg,Diepsloot,-1,-1,18-24,Male,Migrant,Primary,Unemployed
294173,Johannesburg,Diepsloot,-1,-1,25-34,Male,Non-migrant,Primary,Missing
294174,Johannesburg,Diepsloot,-1,-1,25-34,Male,Migrant,Secondary,Missing
294175,Johannesburg,Diepsloot,-1,-1,35-44,Female,Non-migrant,Primary,Employed
294176,Johannesburg,Diepsloot,-1,-1,18-24,Female,Migrant,Secondary,Student
294582,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
294591,Johannesburg,Berea,-1,-1,18-24,Male,Non-migrant,Secondary,Missing
294595,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Missing,Employed
294596,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Missing,Unemployed
294620,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Missing,Employed
294634,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Primary,Unemployed
294635,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Tertiary,Missing
294640,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Missing,Missing
294641,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Missing,Missing
294642,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Missing,Missing
294643,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Secondary,Employed
294644,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Primary,Unemployed
294645,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Employed
294652,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Secondary,Missing
294653,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
294655,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Missing,Missing
