site_code,city,jhb_neighbourhood,accra_neighbourhood,nairobi_neighbourhood,age_group,gender,migrant_status,education_group,employment_status
297288,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Primary,Missing
297289,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Missing
297290,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Tertiary,Missing
297293,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Missing,Student
297294,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
297608,Johannesburg,Berea,-1,-1,45-54,Male,Migrant,Missing,Missing
297609,Johannesburg,Berea,-1,-1,55+,Male,Non-migrant,Missing,Unemployed
297614,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
297615,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
297616,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Tertiary,Unemployed
297628,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
297633,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Missing
297634,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
297635,Johannesburg,Berea,-1,-1,45-54,Male,Non-migrant,Primary,Employed
297646,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,No formal schooling,Missing
